0	1	2
0	3	4
2	3	0
3	5	4
6	1	0
7	1	6
8	4	9
8	6	4
6	0	4
5	9	4
6	10	7
8	10	6
11	12	13
11	14	15
13	14	11
15	16	17
14	16	15
16	18	17
19	20	21
12	19	21
12	11	19
11	22	19
15	23	11
23	22	11
17	24	15
24	23	15
25	17	18
25	26	17
26	24	17
25	27	26
28	20	19
29	20	28
22	30	19
30	28	19
2	1	30
2	30	23
23	30	22
3	2	23
24	3	23
5	3	24
5	24	31
31	24	26
32	26	27
31	26	32
33	29	28
34	29	33
30	35	28
35	33	28
1	7	35
30	1	35
9	36	8
9	5	31
9	31	36
36	31	37
38	31	32
37	31	38
39	34	33
40	34	39
35	41	33
41	39	33
7	10	42
7	42	35
35	42	41
10	8	36
10	36	42
42	36	43
37	44	36
44	43	36
45	37	38
44	37	45
39	46	40
41	46	39
47	46	41
42	47	41
48	47	42
43	48	42
49	48	43
44	49	43
50	49	44
45	50	44
51	52	53
51	54	55
53	54	51
55	56	57
54	56	55
56	58	57
59	60	61
52	59	61
51	59	52
51	12	59
51	13	12
14	13	51
55	14	51
16	14	55
57	16	55
18	62	63
16	62	18
16	58	62
16	57	58
62	64	63
65	66	67
60	65	67
59	65	60
59	20	65
59	21	20
12	21	59
18	63	25
27	68	69
25	68	27
25	64	68
25	63	64
68	70	69
71	66	65
72	66	71
20	29	71
65	20	71
69	73	32
27	69	32
74	69	70
73	69	74
75	72	71
76	72	75
29	34	75
71	29	75
73	77	38
32	73	38
78	73	74
77	73	78
79	76	75
80	76	79
34	40	79
75	34	79
77	81	45
38	77	45
82	77	78
81	77	82
79	83	80
84	85	83
46	84	83
46	83	79
46	79	40
46	47	86
84	46	86
47	48	87
86	47	87
48	49	88
87	48	88
49	50	89
88	49	89
50	90	89
45	90	50
45	91	90
45	81	91
82	91	81
84	92	85
86	92	84
93	92	86
87	93	86
94	93	87
88	94	87
95	94	88
89	95	88
96	95	89
90	96	89
97	98	99
97	53	52
97	99	53
99	100	53
54	53	101
53	100	101
56	54	102
54	101	102
58	103	104
58	56	103
56	102	103
103	105	104
106	107	108
98	106	108
97	106	98
97	60	106
97	61	60
52	61	97
58	104	62
64	109	110
62	109	64
62	105	109
62	104	105
109	111	110
67	107	106
67	66	107
66	112	107
60	67	106
64	110	68
110	70	68
110	111	70
111	113	70
66	72	112
112	72	114
70	113	74
113	115	74
72	76	114
114	76	116
74	115	78
115	117	78
76	80	116
116	80	118
78	117	82
117	119	82
80	120	118
83	120	80
120	83	85
121	120	85
91	122	90
91	123	122
91	82	123
82	119	123
85	124	121
92	124	85
125	126	124
125	124	93
93	124	92
93	94	127
125	93	127
94	95	128
127	94	128
129	128	95
129	95	130
